timestamp,open,high,low,close,volume
2024-06-05,1587.0500,1597.0000,1452.8500,1551.3000,3475142
2024-05-31,1523.3500,1544.9500,1498.2500,1530.8500,4389750
2024-05-24,1454.0000,1519.9500,1449.0000,1516.6500,1776566
2024-05-17,1432.9000,1468.0000,1430.1500,1464.9000,2965447
2024-05-10,1520.0500,1534.5000,1432.0000,1437.6000,2113976
2024-05-03,1514.0000,1540.0000,1506.5000,1518.6500,1578510
2024-04-26,1550.3500,1556.5000,1503.1000,1509.7500,2690574
2024-04-19,1500.0000,1535.2000,1480.5500,1531.3000,2346853
2024-04-12,1557.7000,1557.7000,1513.5000,1518.9000,1863339
2024-04-05,1459.0000,1554.0000,1456.1000,1549.4000,4725420
2024-03-28,1428.7500,1459.7000,1421.0500,1448.2000,3149700
2024-03-22,1447.9500,1455.9500,1424.7500,1442.9500,2540275
2024-03-15,1429.5000,1471.4000,1423.1000,1452.2000,5079890
2024-03-07,1432.4000,1452.3000,1422.1000,1446.3500,2719792
2024-03-01,1419.9500,1434.7000,1398.0000,1431.1500,2860780
2024-02-23,1431.0000,1465.0000,1412.2500,1420.9000,4216079
2024-02-16,1403.9500,1428.1500,1363.4500,1419.9000,3789178
2024-02-09,1446.9000,1458.8000,1387.2500,1403.2000,4676526
2024-02-02,1453.9500,1480.0000,1436.9500,1446.8500,5430425
2024-01-25,1459.9500,1474.9500,1382.4000,1435.3000,5379526
2024-01-19,1646.1500,1683.9000,1469.0000,1470.7000,11561692
2024-01-12,1675.2500,1682.2000,1633.5500,1639.5500,2189294
2024-01-05,1709.6500,1709.6500,1668.2500,1682.5000,3287287
2023-12-29,1670.8000,1721.7000,1668.7000,1709.6500,2146935
2023-12-22,1660.0000,1689.8500,1644.0000,1670.7000,3595137
2023-12-15,1659.9500,1666.5500,1615.2000,1656.3000,2846306
2023-12-08,1590.0000,1655.0000,1572.9500,1653.1000,4460721
2023-12-01,1535.0000,1570.1000,1525.3500,1555.5000,2457554
2023-11-24,1512.0000,1533.8500,1501.5500,1532.0500,1706706
2023-11-17,1490.3500,1519.3000,1485.9500,1505.0500,1995858
2023-11-10,1498.8000,1498.8000,1477.2000,1490.4500,1970601
2023-11-03,1465.0000,1500.5000,1462.1500,1483.5500,2036330
