price,date,volume
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MYR RM1.75,"Jun 28, 2019",583K
MYR RM1.75,"Jun 28, 2019",583K
MYR RM1.75,"Jun 28, 2019",583K
MYR RM1.75,"Jul 12, 2019",218K
MYR RM1.75,"Jul 12, 2019",218K
MYR RM1.72,"Jul 19, 2019",865K
MYR RM1.72,"Jul 19, 2019",865K
MYR RM1.72,"Jul 19, 2019",865K
MYR RM1.76,"Jul 26, 2019",2.9M
MYR RM1.76,"Jul 26, 2019",2.9M
MYR RM1.74,"Aug 2, 2019",2.9M
MYR RM1.74,"Aug 2, 2019",2.9M
MYR RM1.76,"Aug 9, 2019",2.1M
MYR RM1.76,"Aug 9, 2019",2.1M
MYR RM1.76,"Aug 9, 2019",2.1M
MYR RM1.73,"Aug 16, 2019",709K
MYR RM1.73,"Aug 16, 2019",709K
MYR RM1.72,"Aug 23, 2019",848K
MYR RM1.72,"Aug 23, 2019",848K
MYR RM1.75,"Aug 30, 2019",1.7M
MYR RM1.75,"Aug 30, 2019",1.7M
MYR RM1.75,"Aug 30, 2019",1.7M
MYR RM1.74,"Sep 6, 2019",243K
MYR RM1.74,"Sep 6, 2019",243K
MYR RM1.78,"Sep 13, 2019",572K
MYR RM1.78,"Sep 13, 2019",572K
MYR RM1.80,"Sep 20, 2019",423K
MYR RM1.80,"Sep 20, 2019",423K
MYR RM1.80,"Sep 20, 2019",423K
MYR RM1.87,"Sep 27, 2019",619K
MYR RM1.87,"Sep 27, 2019",619K
MYR RM2.07,"Oct 4, 2019",2.6M
MYR RM2.07,"Oct 4, 2019",2.6M
MYR RM2.00,"Oct 11, 2019",1.2M
MYR RM2.00,"Oct 11, 2019",1.2M
MYR RM2.00,"Oct 11, 2019",1.2M
MYR RM2.06,"Oct 18, 2019",1.4M
MYR RM2.06,"Oct 18, 2019",1.4M
MYR RM1.90,"Oct 25, 2019",3.4M
MYR RM1.90,"Oct 25, 2019",3.4M
MYR RM1.90,"Oct 25, 2019",3.4M
MYR RM1.90,"Nov 1, 2019",1.4M
MYR RM1.90,"Nov 1, 2019",1.4M
MYR RM1.96,"Nov 8, 2019",985K
MYR RM1.96,"Nov 8, 2019",985K
MYR RM1.94,"Nov 15, 2019",1.1M
MYR RM1.94,"Nov 15, 2019",1.1M
MYR RM1.94,"Nov 15, 2019",1.1M
MYR RM1.95,"Nov 22, 2019",257K
MYR RM1.95,"Nov 22, 2019",257K
MYR RM1.94,"Nov 29, 2019",339K
MYR RM1.94,"Nov 29, 2019",339K
MYR RM1.94,"Dec 6, 2019",640K
MYR RM1.94,"Dec 6, 2019",640K
MYR RM1.94,"Dec 6, 2019",640K
MYR RM1.96,"Dec 13, 2019",107K
MYR RM1.96,"Dec 13, 2019",107K
MYR RM1.97,"Dec 20, 2019",205K
MYR RM1.97,"Dec 20, 2019",205K
MYR RM1.99,"Dec 27, 2019",858K
MYR RM1.99,"Dec 27, 2019",858K
MYR RM1.99,"Dec 27, 2019",858K
MYR RM2.00,"Jan 3, 2020",513K
MYR RM2.00,"Jan 3, 2020",513K
